Position
Time (Seconds),J1 (Degrees),J2 (Degrees),J3 (Degrees),J4 (Degrees),J5 (Degrees),J6 (Degrees)
8.674999,1.739637,-43.490921,66.233009,-0.817973,67.206963,-164.943237
8.700000,1.624316,-43.527328,66.247261,-0.816656,67.214455,-166.058640
8.724999,1.508317,-43.561234,66.260536,-0.815038,67.220428,-167.175583
8.750000,1.391686,-43.592651,66.272804,-0.813115,67.224937,-168.293274
8.775000,1.274467,-43.621555,66.284096,-0.810889,67.227951,-169.410858
8.799999,1.156716,-43.647926,66.294395,-0.808367,67.229439,-170.530640
8.825000,1.038476,-43.671749,66.303680,-0.805545,67.229416,-171.650208
8.849999,0.919799,-43.692978,66.311966,-0.802422,67.227890,-172.769547
8.875000,0.800733,-43.711647,66.319237,-0.799003,67.224838,-173.889359
8.900000,0.681331,-43.727757,66.325508,-0.795283,67.220314,-175.010406
8.924999,0.561639,-43.741249,66.330765,-0.791267,67.214241,-176.131821
8.950000,0.441708,-43.752140,66.335007,-0.786956,67.206627,-177.254364
